Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
France,100.0,100.0,15.53,53.5,399.01,113.21,90.54302,42326.785,300519.989,1.842971814,40578.64429,119,643801.0
Gabon,90.726295,87.8,89.88,1.25,0.0,1.01,44.690266,7427.6616,5250.0,3.920808795,7766.996554,9,267667.0
Georgia,100.0,87.7,25.22,2.67,0.0,8.93,76.98276,19659.346,10109.99966,4.982350475,4697.983652,57,69700.0
Germany,100.0,100.0,17.17,284.09,75.07,240.33,52.611385,44467.746,657400.0244,1.055508247,46794.89929,240,357022.0
Ghana,83.5,22.4,41.8,9.37,0.0,7.32,43.858597,3135.595,20040.00092,6.507774794,2246.625578,137,238533.0
Greece,100.0,100.0,18.51,32.48,0.0,16.1,33.14121,29966.309,60000.0,1.803595256,19133.75776,81,131957.0
Grenada,93.120964,89.6,10.37,0.21,0.0,0.0,0.0,10655.754,330.0000131,0.7355827,10827.43529,331,349.0
Guatemala,95.742004,48.6,62.92,5.51,0.0,8.3,60.101376,5851.735,19309.99947,3.866856575,4638.634943,167,108889.0
Guinea,42.2,1.6,65.44,0.75,0.0,1.31,63.592236,1201.7898,3950.000048,5.646175568,1058.143368,53,245857.0
Guinea-Bissau,30.961557,1.0,86.24,0.08,0.0,0.0,0.0,703.1273,330.0000131,4.499999992,749.453747,70,36125.0
Guyana,91.91576,79.5,11.35,1.06,0.0,0.16,13.114754,14184.612,2849.999905,5.352627426,6609.51128,4,214969.0
Haiti,45.990234,4.4,76.4,0.85,0.0,0.17,16.666666,1184.3462,3319.999933,-1.684595081,1312.770636,414,27750.0
Honduras,91.1,48.1,45.96,5.39,0.0,5.73,51.528778,5640.568,10220.00027,2.653066255,2556.456891,89,112090.0
Hungary,100.0,100.0,13.64,13.2,16.29,4.7,61.392223,28131.205,46380.00107,4.554063072,16735.65978,107,93028.0
Iceland,100.0,100.0,81.07,0.0,0.0,19.12,100.0,175527.73,1639.999986,2.434823,68941.46223,3,103000.0
