Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Tajikistan,2016.5,99.298915,79.05,42.225,0.7849999999999999,0.0,17.505000000000003,96.08268,7813.80185,7000.0,7.050000164,997.3583802,68.0,144100.0
Thailand,2016.5,99.6809725,80.30000000000001,24.185000000000002,155.925,0.0,20.85,11.547950499999999,20051.4835,261944.99205,1.625451268,6884.4465789999995,137.0,513120.0
Togo,2016.5,49.031555,7.625,78.82499999999999,0.265,0.0,0.185,47.8571435,1223.37765,1979.9999595,5.6902550105,767.14333685,152.0,56785.0
Tonga,2016.5,97.09485000000001,75.8,1.7349999999999999,0.055,0.0,0.005,7.142857,6004.06495,134.99999789999998,1.3763652385,4628.628248999999,147.0,747.0
Trinidad and Tobago,2016.5,100.0,100.0,0.39,8.74,0.0,0.005,0.05787037,140824.94,19615.000724999998,-1.0794861525,18454.048355,273.0,5128.0
Tunisia,2016.5,99.9,99.75,12.53,18.5,0.0,0.705,3.6468694,9817.742,29930.000305,2.054292621,4059.335328,76.0,163610.0
Turkmenistan,2016.5,99.917552,99.9,0.055,20.18,0.0,0.0,0.0,53528.529500000004,72135.00214,8.299999985,7787.1400525,13.0,488100.0
Uganda,2016.5,30.849999999999998,0.6,91.03,0.19,0.0,3.38,93.800595,770.289305,4985.000134,5.772526179,841.0572393,229.0,241038.0
Ukraine,2016.5,100.0,94.85,5.470000000000001,70.605,85.695,11.02,58.152216,24212.879500000003,206229.9957,-3.4396955589999996,3383.0497050000004,75.0,603550.0
United Arab Emirates,2016.5,100.0,100.0,0.405,117.555,0.0,2.0549999999999997,1.606946075,131432.105,186809.99755,3.910811973,43226.62435,118.0,83600.0
United Kingdom,2016.5,100.0,100.0,9.8,175.965,59.965,92.5,46.594308999999996,33738.765,382260.00974999997,2.3315545054999998,45428.869829999996,281.0,243610.0
United States,2016.5,100.0,100.0,9.82,2670.11,803.29,653.7950000000001,35.2858,80107.051,4962465.0879999995,2.3435749805,60164.75868,36.0,9833517.0
Uruguay,2016.5,99.77853999999999,100.0,58.730000000000004,1.765,0.0,12.685,87.730827,19528.1505,6494.999885499999,1.7946191850000002,17259.9816,20.0,176215.0
Uzbekistan,2016.5,100.0,85.05,1.4849999999999999,50.17,0.0,6.24,11.0828055,17365.1895,110790.0009,6.2917353315,2206.234912,79.0,447400.0
Vanuatu,2016.5,56.823818,9.0,31.799999999999997,0.05,0.0,0.02,28.571428,2927.75525,184.9999949,3.5193904935,3021.4888595,25.0,12189.0
Zambia,2016.5,35.45,12.899999999999999,84.13499999999999,1.2,0.0,13.315,91.7942875,3153.6334500000003,5745.000124,3.0696491945,1533.714424,25.0,752618.0
Zimbabwe,2016.5,39.5407375,29.8,80.88499999999999,3.79,0.0,5.1850000000000005,57.6058885,3472.2707499999997,11920.000075,-1.8836534934999998,1375.818467,38.0,390757.0
